# Matter power spectrum P(k) at redshift z=0
# for k=2.08411e-07 to 10.7451 h/Mpc,
# number of wavenumbers equal to 6840
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.875498169000e-04       1.584213141467e+03 
       3.888868814761e-04       1.589454716102e+03 
       3.902281543454e-04       1.594711803407e+03 
       3.915736563485e-04       1.599984477101e+03 
       3.929234084087e-04       1.605272811148e+03 
       3.942774315314e-04       1.610576879757e+03 
       3.956357468045e-04       1.615896757379e+03 
       3.969983753982e-04       1.621232518709e+03 
       3.983653385651e-04       1.626584238681e+03 
       3.997366576396e-04       1.631951992473e+03 
       4.011123540387e-04       1.637335855500e+03 
       4.024924492612e-04       1.642735903416e+03 
       4.038769648877e-04       1.648152212116e+03 
       4.052659225810e-04       1.653584857727e+03 
       4.066593440854e-04       1.659033916616e+03 
       4.080572512270e-04       1.664499465382e+03 
       4.094596659133e-04       1.669981580859e+03 
       4.108666101331e-04       1.675480340113e+03 
       4.122781059567e-04       1.680995820439e+03 
       4.136941755353e-04       1.686528099365e+03 
       4.151148411011e-04       1.692077254646e+03 
       4.165401249670e-04       1.697643364263e+03 
       4.179700495264e-04       1.703226506426e+03 
       4.194046372532e-04       1.708826759565e+03 
       4.208439107016e-04       1.714444202336e+03 
       4.222878925054e-04       1.720078913616e+03 
       4.237366053784e-04       1.725730972500e+03 
       4.251900721138e-04       1.731400458302e+03 
       4.266483155842e-04       1.737087450554e+03 
       4.281113587411e-04       1.742792029001e+03 
       4.295792246147e-04       1.748514273600e+03 
       4.310519363137e-04       1.754254264523e+03 
       4.325295170250e-04       1.760012082147e+03 
       4.340119900133e-04       1.765787807058e+03 
       4.354993786209e-04       1.771581520050e+03 
       4.369917062674e-04       1.777393302117e+03 
       4.384889964490e-04       1.783223234457e+03 
       4.399912727389e-04       1.789071398464e+03 
       4.414985587860e-04       1.794937875734e+03 
       4.430108783153e-04       1.800822748054e+03 
       4.445282551271e-04       1.806726097406e+03 
       4.460507130969e-04       1.812648005961e+03 
       4.475782761744e-04       1.818588556080e+03 
       4.491109683839e-04       1.824547830308e+03 
       4.506488138233e-04       1.830525911374e+03 
       4.521918366636e-04       1.836522882187e+03 
       4.537400611488e-04       1.842538825835e+03 
       4.552935115953e-04       1.848573825581e+03 
       4.568522123911e-04       1.854627964863e+03 
       4.584161879957e-04       1.860701327285e+03 
       4.599854629394e-04       1.866793996622e+03 
       4.615600618228e-04       1.872906056811e+03 
       4.631400093160e-04       1.879037591952e+03 
       4.647253301586e-04       1.885188686303e+03 
       4.663160491585e-04       1.891359424278e+03 
       4.679121911918e-04       1.897549890444e+03 
       4.695137812016e-04       1.903760169515e+03 
       4.711208441982e-04       1.909990346352e+03 
       4.727334052577e-04       1.916240505962e+03 
       4.743514895218e-04       1.922510733486e+03 
       4.759751221968e-04       1.928801114206e+03 
       4.776043285532e-04       1.935111733533e+03 
       4.792391339249e-04       1.941442677010e+03 
       4.808795637084e-04       1.947794030303e+03 
       4.825256433621e-04       1.954165879202e+03 
       4.841773984056e-04       1.960558309614e+03 
       4.858348544189e-04       1.966971407561e+03 
       4.874980370416e-04       1.973405259175e+03 
       4.891669719722e-04       1.979859950695e+03 
       4.908416849669e-04       1.986335568461e+03 
       4.925222018394e-04       1.992832198916e+03 
       4.942085484595e-04       1.999349928593e+03 
       4.959007507525e-04       2.005888844117e+03 
       4.975988346982e-04       2.012449032199e+03 
       4.993028263300e-04       2.019030579633e+03 
       5.010127517340e-04       2.025633573290e+03 
       5.027286370481e-04       2.032258100112e+03 
       5.044505084611e-04       2.038904247111e+03 
       5.061783922115e-04       2.045572101365e+03 
       5.079123145865e-04       2.052261750007e+03 
       5.096523019215e-04       2.058973280227e+03 
       5.113983805983e-04       2.065706779266e+03 
       5.131505770446e-04       2.072462334407e+03 
       5.149089177327e-04       2.079240032975e+03 
       5.166734291787e-04       2.086039962329e+03 
       5.184441379408e-04       2.092862209859e+03 
       5.202210706188e-04       2.099706862979e+03 
       5.220042538526e-04       2.106574009122e+03 
       5.237937143211e-04       2.113463735737e+03 
       5.255894787412e-04       2.120376130280e+03 
       5.273915738663e-04       2.127311280212e+03 
       5.292000264853e-04       2.134269272991e+03 
       5.310148634212e-04       2.141250196070e+03 
       5.328361115301e-04       2.148254136884e+03 
       5.346637976995e-04       2.155281182853e+03 
       5.364979488475e-04       2.162331421372e+03 
       5.383385919210e-04       2.169404939804e+03 
       5.401857538948e-04       2.176501825477e+03 
       5.420394617699e-04       2.183622165676e+03 
       5.438997425723e-04       2.190766047636e+03 
       5.457666233516e-04       2.197933558540e+03 
       5.476401311795e-04       2.205124785509e+03 
       5.495202931483e-04       2.212339815596e+03 
       5.514071363698e-04       2.219578735782e+03 
       5.533006879733e-04       2.226841632968e+03 
       5.552009751047e-04       2.234128593967e+03 
       5.571080249243e-04       2.241439705500e+03 
       5.590218646059e-04       2.248775054190e+03 
       5.609425213348e-04       2.256134726551e+03 
       5.628700223066e-04       2.263518808986e+03 
       5.648043947252e-04       2.270927387777e+03 
       5.667456658014e-04       2.278360549078e+03 
       5.686938627514e-04       2.285818378913e+03 
       5.706490127949e-04       2.293300963161e+03 
       5.726111431536e-04       2.300808387554e+03 
       5.745802810492e-04       2.308340737672e+03 
       5.765564537022e-04       2.315898098928e+03 
       5.785396883298e-04       2.323480556568e+03 
       5.805300121441e-04       2.331088195659e+03 
       5.825274523506e-04       2.338721101086e+03 
       5.845320361462e-04       2.346379357539e+03 
       5.865437907175e-04       2.354063049511e+03 
       5.885627432389e-04       2.361772261284e+03 
       5.905889208708e-04       2.369507076928e+03 
       5.926223507576e-04       2.377267580290e+03 
       5.946630600262e-04       2.385053854983e+03 
       5.967110757835e-04       2.392865984385e+03 
       5.987664251150e-04       2.400704051626e+03 
       6.008291350826e-04       2.408568139581e+03 
       6.028992327226e-04       2.416458330862e+03 
       6.049767450440e-04       2.424374707810e+03 
       6.070616990261e-04       2.432317352489e+03 
       6.091541216168e-04       2.440286346673e+03 
       6.112540397307e-04       2.448281771841e+03 
       6.133614802463e-04       2.456303709168e+03 
